,data,freq
1123,melindungi,2
1124,hihi,2
1125,ortu,2
1126,ditanya,2
1127,Go,2
1128,ajalah,2
1129,pergaulan,2
1130,ngeh,2
1131,it,2
1132,karo,2
1133,penyanyi,2
1134,beberapa,2
1135,nasib,2
1136,saking,2
1137,masyaallah,2
1138,bakat,2
1139,+,2
1140,dandannya,2
1141,santai,2
1142,Nah,2
1143,Rini,2
1144,Suaminya,2
1145,swett,2
1146,Selamat,2
1147,persalinannya,2
1148,wkt,2
1149,hbs,2
1150,bahkan,2
1151,lakukan,2
1152,lahiran,2
1153,engga,2
1154,Bunda,2
1155,puyeng,2
1156,Padahal,2
1157,nia,2
1158,betul,2
1159,ariel,2
1160,kharisma,2
1161,lelaki,2
1162,entah,2
1163,meski,2
1164,usaha,2
1165,go,2
1166,klau,2
1167,enakk,2
1168,ka,2
1169,Mami,2
1170,babang,2
1171,setia,2
1172,ibuku,2
1173,pilihan,2
1174,Cewenya,2
1175,senyumnya,2
1176,manis,2
1177,mh,2
1178,'itu,2
1179,final,2
1180,feb,2
1181,'17,2
1182,mei,2
1183,in,2
1184,plan,2
1185,neko,2
1186,kakaknya,2
1187,nikahnya,2
1188,Amel,2
1189,oma,2
1190,dilancarkan,2
1191,momongan,2
1192,dokter,2
1193,best,2
1194,Ashanti,2
1195,sambung,2
1196,azriel,2
1197,tentu,2
1198,tv,2
1199,tiri,2
1200,yh,2
1201,Aurel,2
1202,perawatan,2
1203,tutup,2
1204,belum,2
1205,ingat,2
1206,lancarkan,2
1207,sj,2
1208,kelak,2
1209,Nya,2
1210,bertanggung,2
1211,komunikasi,2
1212,mkn,2
1213,berjuang,2
1214,lapangan,2
1215,sesembaknya,2
1216,TOLOL,1
1217,keguguran,1
1218,syar,1
1219,i,1
1220,bayi,1
1221,kepanasan,1
1222,didalem,1
1223,woyyyy,1
1224,Otak,1
1225,jempol,1
1226,singkron,1
1227,jadinya,1
1228,nulis,1
1229,komentar,1
1230,Geblek,1
1231,dibela2in,1
1232,hadeww,1
1233,nyalahin,1
1234,kitenya,1
1235,oon,1
1236,termewek2,1
1237,skr,1
1238,lengket,1
1239,duhhh,1
1240,labil,1
1241,markotoppp,1
1242,Intinya,1
1243,kesel,1
1244,ATT,1
1245,gausah,1
1246,perkembangan,1
1247,psikis,1
1248,kedepannya,1
1249,seandainya,1
1250,dikatain,1
1251,Benci,1
1252,batesnya,1
1253,gaakan,1
1254,penyuka,1
1255,hadewwwww,1
1256,peran,1
1257,utama,1
1258,film,1
1259,hantu,1
1260,jeruk,1
1261,purut,1
1262,khabisan,1
1263,stok,1
